Time to create 108901 pairs for Sorted Array: 244.269 seconds.
Time to search 4532 pairs for Sorted Array: 0.009686 seconds.

Pairs and their number of appearances:
[{martelli, is} apps: 1]
[{become, so} apps: 2]
[{of, manuscripts} apps: 8]
[{study, of} apps: 23]
[{point, to} apps: 6]
[{proof, of} apps: 9]
[{has, borne} apps: 1]
[{taken, in} apps: 7]
[{of, the} apps: 4417]
[{of, midday} apps: 2]
[{but, also} apps: 4]
[{studio, 509} apps: 2]
[{notes, in} apps: 11]
[{order, in} apps: 5]
[{given, at} apps: 5]
[{choice, of} apps: 9]
[{of, morning} apps: 2]
[{file, may} apps: 1]
[{tube, through} apps: 1]
[{fragment, inciting} apps: 1]
[{proposition, its} apps: 1]
[{the, relative} apps: 27]
[{which, lord} apps: 1]
[{the, nature} apps: 66]
[{them, together} apps: 7]
[{651, 652} apps: 2]
[{for, a} apps: 76]
[{di, bandino} apps: 5]
[{scenes, 604} apps: 1]
[{could, only} apps: 4]
[{famiglia, martelli} apps: 1]
[{292, an} apps: 1]
[{the, commission} apps: 7]
[{evidently, had} apps: 1]
[{278, on} apps: 1]
[{naturae, par} apps: 1]
[{begin, with} apps: 7]
[{vii, on} apps: 3]
[{astronomy, or} apps: 1]
[{human, figure} apps: 12]
[{i, shall} apps: 23]
[{of, the} apps: 4417]
[{seem, to} apps: 60]
[{first, to} apps: 11]
[{of, the} apps: 4417]
[{is, above} apps: 18]
[{colours, of} apps: 25]
[{and, shade} apps: 106]
[{and, other} apps: 53]
[{use, of} apps: 25]
[{put, together} apps: 6]
[{famiglia, martelli} apps: 1]
[{perspective, of} apps: 24]
[{painter, s} apps: 10]
[{derived, for} apps: 1]
[{to, leonardos} apps: 1]
[{that, it} apps: 150]
[{logical, sequence} apps: 1]
[{now, scattered} apps: 1]
[{that, reason} apps: 2]
[{its, application} apps: 3]
[{the, louvre} apps: 14]
[{complications, in} apps: 2]
[{the, object} apps: 134]
[{so, much} apps: 78]
[{this, reason} apps: 14]
[{copy, and} apps: 4]
[{the, christian} apps: 2]
[{antique, 486} apps: 2]
[{cases, indicated} apps: 1]
[{of, the} apps: 4417]
[{supported, on} apps: 5]
[{298, 299} apps: 1]
[{of, wind} apps: 8]
[{is, frequently} apps: 1]
[{in, the} apps: 1787]
[{other, without} apps: 3]
[{607, 609} apps: 2]
[{definition, of} apps: 15]
[{the, amount} apps: 11]
[{of, all} apps: 68]
[{s, literary} apps: 2]
[{that, it} apps: 150]
[{left, four} apps: 1]
[{de, france} apps: 6]
[{been, preserved} apps: 7]
[{a, guiding} apps: 2]
[{varnishes, 635} apps: 1]
[{in, the} apps: 1787]
[{permission, granted} apps: 1]
[{him, to} apps: 25]
[{had, in} apps: 2]
[{for, which} apps: 7]
[{is, the} apps: 373]
[{appear, to} apps: 30]
[{the, period} apps: 6]
[{the, vatican} apps: 19]
[{done, it} apps: 2]
[{thirteen, leaves} apps: 1]
[{runs, backwards} apps: 2]
[{with, regard} apps: 34]
[{second, book} apps: 4]
[{on, simple} apps: 1]
[{these, by} apps: 3]
[{painting, 9} apps: 2]
[{bottom, of} apps: 44]
[{under, many} apps: 1]
[{a, picture} apps: 29]
[{more, particularly} apps: 2]
[{at, the} apps: 466]
[{106, on} apps: 1]
[{of, light} apps: 145]
[{centuries, have} apps: 1]
[{shadows, 160} apps: 2]
[{with, by} apps: 2]
[{rights, and} apps: 1]
[{by, experiment} apps: 14]
[{plans, of} apps: 6]
[{521, 530} apps: 2]
[{298, 299} apps: 1]
[{down, 375} apps: 2]
[{numbered, by} apps: 1]
[{of, his} apps: 149]
[{mss, 1} apps: 2]
[{order, of} apps: 24]
[{to, this} apps: 98]
[{i, have} apps: 120]
[{year, ahead} apps: 1]
[{editors, down} apps: 1]
[{of, any} apps: 40]
[{passage, is} apps: 31]
[{of, any} apps: 40]
[{without, attempting} apps: 1]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{at, florence} apps: 22]
[{of, sight} apps: 43]
[{leonardo, that} apps: 1]
[{the, task} apps: 6]
[{has, been} apps: 79]
[{this, should} apps: 7]
[{utility, and} apps: 2]
[{of, unfortunate} apps: 1]
[{della, signoria} apps: 5]
[{them, on} apps: 15]
[{on, the} apps: 988]
[{our, series} apps: 1]
[{arisen, during} apps: 1]
[{both, eyes} apps: 8]
[{task, the} apps: 1]
[{distances, 232} apps: 2]
[{it, of} apps: 10]
[{cannot, now} apps: 1]
[{rules, 289} apps: 2]
[{apparent, size} apps: 11]
[{in, other} apps: 8]
[{scheme, indeed} apps: 1]
[{permission, granted} apps: 1]
[{in, the} apps: 1787]
[{foot, 337} apps: 2]
[{private, life} apps: 4]
[{iii, the} apps: 5]
[{of, perspective} apps: 34]
[{vinci, admonition} apps: 1]
[{leonardo, da} apps: 37]
[{definition, 222} apps: 2]
[{from, leonardo} apps: 7]
[{to, project} apps: 7]
[{my, thanks} apps: 1]
[{still, this} apps: 1]
[{singular, fatality} apps: 1]
[{239, the} apps: 1]
[{cast, shadow} apps: 11]
[{the, end} apps: 56]
[{of, strength} apps: 5]
[{reason, his} apps: 1]
[{evidently, had} apps: 1]
[{case, 292} apps: 2]
[{accorded, me} apps: 1]
[{and, place} apps: 9]
[{and, how} apps: 25]
[{many, of} apps: 8]
[{introduction, to} apps: 7]
[{because, the} apps: 105]
[{by, leonardo} apps: 63]
[{1508, and} apps: 2]
[{reading, speaking} apps: 1]
[{changing, all} apps: 1]
[{are, the} apps: 80]
[{me, by} apps: 11]
[{the, history} apps: 13]
[{have, remained} apps: 6]
[{350, 354} apps: 2]
[{with, the} apps: 412]
[{when, viewing} apps: 1]
[{inventions, and} apps: 2]
[{a, manner} apps: 5]
[{one, time} apps: 3]
[{shadows, 166} apps: 2]
[{that, not} apps: 5]
[{of, colours} apps: 24]
[{insertion, of} apps: 19]
[{of, the} apps: 4417]
[{gradations, of} apps: 8]
[{and, if} apps: 225]
[{when, viewing} apps: 1]
[{307, vii} apps: 1]
[{most, of} apps: 23]
[{on, light} apps: 21]
[{the, original} apps: 202]
[{of, christ} apps: 9]
[{both, of} apps: 5]
[{practice, of} apps: 11]
[{by, experiment} apps: 14]
[{of, manuscript} apps: 2]
[{figures, in} apps: 9]
[{direct, from} apps: 2]
[{of, particular} apps: 3]
[{there, the} apps: 5]
[{enveloped, the} apps: 1]
[{and, of} apps: 137]
[{of, the} apps: 4417]
[{depicting, natural} apps: 2]
[{89, on} apps: 1]
[{myself, i} apps: 1]
[{and, in} apps: 220]
[{numbers, from} apps: 1]
[{pyramid, of} apps: 35]
[{and, of} apps: 137]
[{de, l} apps: 13]
[{book, on} apps: 38]
[{be, found} apps: 60]
[{altered, so} apps: 1]
[{at, the} apps: 466]
[{unpublished, and} apps: 1]
[{judge, from} apps: 2]
[{of, the} apps: 4417]
[{clavis, sigillorum} apps: 1]
[{vii, philosophy} apps: 2]
[{images, reflected} apps: 2]
[{30, 39} apps: 2]
[{geymuller, of} apps: 1]
[{and, say} apps: 1]
[{important, passages} apps: 2]
[{to, ascertain} apps: 6]
[{of, colours} apps: 24]
[{to, monsieur} apps: 2]
[{he, was} apps: 47]
[{the, left} apps: 96]
[{and, at} apps: 75]
[{216, on} apps: 1]
[{a, tempest} apps: 7]
[{distances, 227} apps: 2]
[{time, under} apps: 2]
[{that, remain} apps: 1]
[{of, volume} apps: 4]
[{anghiari, 669} apps: 1]
[{right, position} apps: 2]
[{water, and} apps: 32]
[{milan, has} apps: 3]
[{and, shadows} apps: 9]
[{laws, of} apps: 9]
[{desperate, one} apps: 1]
[{and, sketches} apps: 4]
[{and, how} apps: 25]
[{private, owners} apps: 1]
[{file, included} apps: 1]
[{the, reason} apps: 41]
[{486, 487} apps: 3]
[{and, shade} apps: 106]
[{of, light} apps: 145]
[{every, description} apps: 1]
[{he, should} apps: 9]
[{the, lighting} apps: 4]
[{disputed, proposition} apps: 2]
[{any, serious} apps: 1]
[{to, make} apps: 77]
[{and, recompose} apps: 1]
[{indeed, forgotten} apps: 1]
[{almost, inexplicable} apps: 1]
[{consecutive, numbers} apps: 1]
[{da, vinci} apps: 60]
[{colours, the} apps: 2]
[{just, as} apps: 31]
[{of, light} apps: 145]
[{the, reader} apps: 18]
[{how, to} apps: 45]
[{celebri, italiane} apps: 1]
[{66, general} apps: 1]
[{end, of} apps: 60]
[{ebooks, were} apps: 1]
[{and, it} apps: 123]
[{first, brought} apps: 2]
[{e, misura} apps: 2]
[{on, the} apps: 988]
[{oldest, and} apps: 1]
[{would, be} apps: 91]
[{the, xvith} apps: 10]
[{of, mss} apps: 4]
[{system, and} apps: 1]
[{with, the} apps: 412]
[{that, he} apps: 94]
[{given, which} apps: 3]
[{of, time} apps: 22]
[{but, none} apps: 2]
[{painter, s} apps: 10]
[{which, now} apps: 3]
[{the, position} apps: 25]
[{right, to} apps: 8]
[{to, the} apps: 1381]
[{mathematician, read} apps: 1]
[{backgrounds, on} apps: 3]
[{on, objects} apps: 3]
[{as, in} apps: 57]
[{the, written} apps: 3]
[{other, cases} apps: 4]
[{intended, the} apps: 1]
[{and, sex} apps: 2]
[{prolegomena, 110} apps: 2]
[{the, movement} apps: 24]
[{the, practice} apps: 13]
[{the, whole} apps: 139]
[{493, 494} apps: 2]
[{the, background} apps: 23]
[{on, indistinctness} apps: 6]
[{machine, many} apps: 2]
[{635, 637} apps: 2]
[{have, remained} apps: 6]
[{and, dissertations} apps: 3]
[{the, collector} apps: 1]
[{obscura, 273} apps: 2]
[{effect, of} apps: 26]
[{294, the} apps: 2]
[{by, experiment} apps: 14]
[{that, he} apps: 94]
[{written, on} apps: 28]
[{shade, on} apps: 11]
[{love, for} apps: 6]
[{all, leonardo} apps: 4]
[{the, light} apps: 248]
[{an, enquirer} apps: 1]
[{pyramids, in} apps: 1]
[{so, much} apps: 78]
[{picture, of} apps: 9]
[{indistinctness, at} apps: 6]
[{as, commissario} apps: 1]
[{the, word} apps: 29]
[{illustrations, that} apps: 1]
[{for, the} apps: 289]
[{cases, that} apps: 3]
[{of, his} apps: 149]
[{press, i} apps: 1]
[{and, i} apps: 44]
[{such, cases} apps: 2]
[{his, way} apps: 2]
[{so, popular} apps: 1]
[{by, means} apps: 53]
[{of, the} apps: 4417]
[{of, the} apps: 4417]
[{that, leonardo} apps: 67]
[{to, be} apps: 412]
[{original, manuscript} apps: 5]
[{323, relative} apps: 1]
[{the, limitations} apps: 3]
[{that, leonardo} apps: 67]
[{495, 497} apps: 2]
[{preparation, and} apps: 2]
[{of, detail} apps: 3]
[{system, and} apps: 1]
[{came, within} apps: 1]
[{and, how} apps: 25]
[{of, the} apps: 4417]
[{studio, 509} apps: 2]
[{422, the} apps: 1]
[{its, application} apps: 3]
[{on, mechanics} apps: 2]
[{that, remain} apps: 1]
[{and, this} apps: 274]
[{essays, and} apps: 1]
[{bayne, librarian} apps: 1]
[{shadow, as} apps: 10]
[{of, leonardo} apps: 78]
[{outlines, of} apps: 22]
[{to, start} apps: 1]
[{which, they} apps: 47]
[{637, on} apps: 1]
[{them, the} apps: 27]
[{to, us} apps: 21]
[{different, principles} apps: 2]
[{and, by} apps: 80]
[{of, these} apps: 137]
[{and, not} apps: 70]
[{cases, this} apps: 1]
[{and, shadows} apps: 9]
[{of, the} apps: 4417]
[{a, position} apps: 13]
[{gave, the} apps: 2]
[{the, eye} apps: 521]
[{from, sir} apps: 1]
[{533, 535} apps: 2]
[{us, now} apps: 1]
[{to, readers} apps: 2]
[{627, of} apps: 1]
[{the, preparation} apps: 7]
[{of, light} apps: 145]
[{necessary, to} apps: 27]
[{by, the} apps: 724]
[{of, volume} apps: 4]
[{that, these} apps: 26]
[{principles, and} apps: 5]
[{in, the} apps: 1787]
[{laws, for} apps: 2]
[{420, 422} apps: 2]
[{relation, of} apps: 7]
[{himself, lamented} apps: 1]
[{the, difficulty} apps: 1]
[{produced, by} apps: 42]
[{533, 535} apps: 2]
[{of, the} apps: 4417]
[{finally, some} apps: 1]
[{clavis, sigillorum} apps: 1]
[{and, popular} apps: 1]
[{centuries, have} apps: 1]
[{652, painting} apps: 1]
[{artist, s} apps: 10]
[{marchese, trivulsi} apps: 1]
[{in, painting} apps: 18]
[{passing, through} apps: 13]
[{leonardo, himself} apps: 22]
[{rays, 77} apps: 1]
[{as, by} apps: 8]
[{queen, graciously} apps: 1]
[{on, shadows} apps: 3]
[{287, 288} apps: 2]
[{at, the} apps: 466]
[{and, shadow} apps: 16]
[{as, a} apps: 112]
[{essays, and} apps: 1]
[{apparent, size} apps: 11]
[{in, the} apps: 1787]
[{necessary, to} apps: 27]
[{the, sense} apps: 32]
[{xvith, and} apps: 1]
[{observed, that} apps: 6]
[{science, than} apps: 1]
[{435, the} apps: 2]
[{sorts, of} apps: 6]
[{cases, this} apps: 1]
[{copy, and} apps: 4]
[{text, the} apps: 11]
[{observations, 308} apps: 2]
[{the, abbate} apps: 1]
[{are, anything} apps: 1]
[{by, means} apps: 53]
[{subjects, 5} apps: 2]
[{been, published} apps: 21]
[{to, the} apps: 1381]
[{on, the} apps: 988]
[{his, manuscripts} apps: 5]
[{of, derived} apps: 14]
[{and, the} apps: 1034]
[{which, you} apps: 43]
[{to, nothing} apps: 2]
[{in, this} apps: 118]
[{the, most} apps: 56]
[{the, sequence} apps: 2]
[{instead, of} apps: 20]
[{march, 25th} apps: 1]
[{273, 274} apps: 2]
[{manuscripts, preserved} apps: 1]
[{the, pyramid} apps: 38]
[{practice, 490} apps: 2]
[{and, by} apps: 80]
[{literary, labours} apps: 2]
[{obstacles, having} apps: 1]
[{for, landscapes} apps: 2]
[{representing, the} apps: 7]
[{emotions, 584} apps: 2]
[{not, merely} apps: 13]
[{as, explained} apps: 3]
[{his, life} apps: 20]
[{in, his} apps: 116]
[{of, the} apps: 4417]
[{secondly, by} apps: 1]
[{to, this} apps: 98]
[{by, manzi} apps: 1]
[{preface, a} apps: 1]
[{that, which} apps: 101]
[{and, general} apps: 1]
[{to, readers} apps: 2]
[{painter, s} apps: 10]
[{martelli, is} apps: 1]
[{69, the} apps: 2]
[{out, his} apps: 7]
[{are, genuine} apps: 1]
[{small, portion} apps: 6]
[{to, the} apps: 1381]
[{is, mainly} apps: 1]
[{both, of} apps: 5]
[{do, not} apps: 110]
[{rainbows, and} apps: 2]
[{leonardo, himself} apps: 22]
[{of, alexander} apps: 1]
[{blame, me} apps: 3]
[{function, of} apps: 13]
[{for, by} apps: 3]
[{by, both} apps: 6]
[{all, leonardo} apps: 4]
[{them, for} apps: 11]
[{394, 396} apps: 1]
[{make, volumes} apps: 1]
[{case, 292} apps: 2]
[{of, the} apps: 4417]
[{i, have} apps: 120]
[{famiglie, celebri} apps: 1]
[{the, point} apps: 90]
[{it, has} apps: 75]
[{whole, body} apps: 2]
[{and, interesting} apps: 3]
[{1508, the} apps: 2]
[{in, the} apps: 1787]
[{on, the} apps: 988]
[{list, of} apps: 3]
[{been, during} apps: 1]
[{extended, to} apps: 5]
[{appreciated, in} apps: 1]
[{on, cast} apps: 2]
[{is, headed} apps: 2]
[{if, you} apps: 264]
[{of, my} apps: 23]
[{two, lights} apps: 12]
[{the, ebook} apps: 9]
[{to, the} apps: 1381]
[{they, are} apps: 216]
[{also, greatly} apps: 1]
[{the, manuscripts} apps: 23]
[{the, division} apps: 8]
[{or, less} apps: 34]
[{of, manuscript} apps: 2]
[{printed, first} apps: 3]
[{disorder, in} apps: 2]
[{39, and} apps: 2]
[{this, science} apps: 2]
[{tube, through} apps: 1]
[{referring, to} apps: 22]
[{the, central} apps: 27]
[{poetry, 653} apps: 2]
[{dell, acqua} apps: 8]
[{five, thousand} apps: 2]
[{of, disappearance} apps: 8]
[{their, contents} apps: 5]
[{549, 554} apps: 2]
[{the, original} apps: 202]
[{of, sight} apps: 43]
[{from, ms} apps: 5]
[{only, rendered} apps: 1]
[{of, valuable} apps: 1]
[{183, 187} apps: 2]
[{72, 73} apps: 2]
[{release, date} apps: 2]
[{ready, for} apps: 1]
[{in, our} apps: 24]
[{central, point} apps: 3]
[{point, to} apps: 6]
[{to, leonardos} apps: 1]
[{so, wellknown} apps: 1]
[{english, is} apps: 1]
[{prove, its} apps: 2]
[{he, would} apps: 12]
[{the, bibliography} apps: 5]
[{distinct, and} apps: 3]
[{on, the} apps: 988]
[{mystery, which} apps: 1]
[{now, scattered} apps: 1]
[{of, cast} apps: 7]
[{of, detail} apps: 3]
[{volume, ii} apps: 1]
[{but, a} apps: 34]
[{of, light} apps: 145]
[{469, the} apps: 1]
[{copies, of} apps: 8]
[{as, produced} apps: 2]
[{a, passage} apps: 6]
[{the, passages} apps: 22]
[{a, singular} apps: 1]
[{497, on} apps: 1]
[{notes, on} apps: 41]
[{by, jean} apps: 2]
[{de, perdimenti} apps: 5]
[{how, to} apps: 45]
[{the, arm} apps: 52]
[{the, distribution} apps: 11]
[{with, some} apps: 7]
[{to, prove} apps: 42]
[{could, find} apps: 1]
[{the, most} apps: 56]
[{in, which} apps: 136]
[{361, the} apps: 1]
[{and, arranged} apps: 4]
[{this, is} apps: 187]
[{regulate, the} apps: 1]
[{continued, to} apps: 1]
[{than, satisfactory} apps: 1]
[{of, trees} apps: 46]
[{628, the} apps: 1]
[{complete, a} apps: 1]
[{research, as} apps: 1]
[{light, or} apps: 12]
[{hold, leonardo} apps: 1]
[{and, to} apps: 102]
[{the, preparation} apps: 7]
[{of, the} apps: 4417]
[{reciprocal, effects} apps: 2]
[{book, on} apps: 38]
[{the, elements} apps: 23]
[{these, ebooks} apps: 2]
[{them, for} apps: 11]
[{532, on} apps: 1]
[{it, was} apps: 88]
[{of, art} apps: 6]
